borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,criminal_rate,population_2020
Bronx,High  Bridge,40.8366230107,-73.9261020936,,,,45,5,43,5, 5927,32456
Brooklyn,Highland Park,40.6819989345,-73.8903457099,,,,3,0,30,1, 1704,27
Queens,Hillcrest,40.7238249018,-73.7976030091,,,,14,2,48,4, 513,17834
Queens,Hollis,40.7112434419,-73.7592500934,,,,29,0,50,2, 1196,24576
Queens,Holliswood,40.7209572076,-73.7671416671,,,,10,2,32,2, 700,11788
Brooklyn,Homecrest,40.5985250951,-73.9591845943,,,,47,2,43,13, 1518,26389
Queens,Howard Beach,40.6542252774,-73.838137646,,,,9,0,50,3, 397,13660
Staten Island,Howland Hook,40.6384328379,-74.1862233175,,,,0,0,6,0, 9,1073
Manhattan,Hudson Yards,40.7566580823,-74.000111362,,,,13,0,22,17, 6452,7762
Staten Island,Huguenot,40.5319119205,-74.1917410575,,,,8,0,8,1, 149,10133
Queens,Hunters Point,40.7434140901,-73.9538678213,,,,42,1,44,3, 1324,16108
Bronx,Hunts Point,40.8097298794,-73.8833150596,,,,6,0,42,6, 744,15131
Manhattan,Inwood,40.8676839645,-73.921210422,,,,44,1,43,15, 2624,36299
Queens,Jackson Heights,40.7519813801,-73.8828210916,,,,48,8,42,25, 5276,101848
Queens,Jamaica Center,40.7046573607,-73.7969016589,,,,44,2,46,14, 3919,61026
Queens,Jamaica Estates,40.7168048301,-73.7872269694,,,,49,0,44,5, 1176,11788
Queens,Jamaica Hills,40.7114596437,-73.7964646208,,,,16,0,5,0, 3386,19646
Brooklyn,Kensington,40.642381958,-73.9804211056,,,,50,2,48,15, 1444,41758
Queens,Kew Gardens,40.7051790354,-73.8298190583,,,,45,0,50,10, 1515,24371
Queens,Kew Gardens Hills,40.7225782442,-73.8208776493,,,,45,0,50,16, 878,36009
Bronx,Kingsbridge,40.8816873712,-73.9028179872,,,,38,1,30,10, 3370,11403
Bronx,Kingsbridge Heights,40.8703923914,-73.9015226451,,,,18,3,24,0, 4976,17888
Manhattan,Kips Bay,40.741068,-73.977322,,,,9,0,11,13, 4612,31760
Manhattan,Koreatown,40.74771,-73.98678,,,,0,0,0,0, 11305,1785
Queens,Laurelton,40.6678838966,-73.7402560799,,,,20,0,24,2, 745,26088
Queens,Lefrak City,40.7360745708,-73.8625247141,,,,11,1,21,4, 3380,91510
Manhattan,Lenox Hill,40.7681126583,-73.9588596881,,,,25,41,19,20, 4030,28509
Staten Island,Lighthouse Hill,40.5765062938,-74.1379266377,,,,0,0,0,0, 93,8205
Manhattan,Lincoln Square,40.7735288894,-73.98533777,,,,49,13,47,42, 4300,35348
Queens,Lindenwood,40.6639184193,-73.849637824,,,,16,0,34,6, 688,13660
Manhattan,Little Italy,40.719323794,-73.9973046721,,,,8,0,4,11, 8563,7762
Queens,Little Neck,40.7708261928,-73.7388977558,,,,38,0,50,7, 169,12631
Queens,Long Island City,40.7502173461,-73.9392022392,,,,50,3,50,21, 2753,16108
Bronx,Longwood,40.8150990455,-73.8957882009,,,,38,1,36,4, 4532,40289
Manhattan,Lower East Side,40.7178067489,-73.98089032,,,,33,2,14,7, 7800,49149
Brooklyn,Madison,40.6093777011,-73.9484151533,,,,26,0,31,0, 1080,41465
Queens,Malba,40.7906015567,-73.8266775714,,,,10,0,16,0, 219,18693
Brooklyn,Manhattan Beach,40.5779135031,-73.9435372289,,,,37,1,31,0, 348,23028
Brooklyn,Manhattan Terrace,40.6144325134,-73.9574384056,,,,50,7,50,17, 1541,51973
Manhattan,Manhattan Valley,40.7973070417,-73.9642861774,,,,45,5,47,12, 4422,25875
Manhattan,Manhattanville,40.8169344295,-73.9573853935,,,,34,1,37,9, 4934,22183
Staten Island,Manor Heights,40.6018095763,-74.1205939972,,,,5,0,12,0, 375,8205
Brooklyn,Mapleton,40.619768,-73.980701,,,,39,1,41,10, 1390,19568
Manhattan,Marble Hill,40.8765507788,-73.9106596586,,,,50,5,50,6, 3070,11403
Brooklyn,Marine Park,40.6097477799,-73.9313440411,,,,27,0,50,4, 893,15651
